x,y,z
-76,197,116
-71,208,111
-68,214,108
-68,210,104
-75,203,104
-75,198,102
-79,198,102
-79,202,107
-77,205,106
-76,203,102
-83,197,100
-87,198,103
-83,208,101
-83,209,100
-86,204,97
-89,199,95
-92,199,91
-95,201,96
-93,209,99
-94,206,98
-97,206,99
-96,211,99
-96,213,99
-92,216,95
-93,215,94
-96,212,96
-101,215,101
-94,213,91
-93,219,89
-91,220,84
-90,225,79
-92,218,77
-100,210,78
-105,207,79
-106,201,84
-109,204,83
-109,209,86
-103,201,75
-101,202,67
-103,216,73
-102,211,64
-95,220,65
-94,223,66
-93,223,67
-93,223,68
-101,224,74
-97,223,76
-91,224,77
-88,229,78
-94,225,79
-99,217,81
-98,221,79
-95,220,77
-92,221,76
-95,212,75
-102,208,76
-104,203,80
-102,208,81
-102,209,81
-101,214,80
-100,215,80
-100,216,80
-102,212,82
-107,208,85
-108,210,90
-106,213,92
-105,209,86
-106,203,81
-106,200,78
-108,201,75
-108,201,73
-105,199,68
-105,205,69
-107,203,71
-109,204,76
-113,206,75
-110,212,71
-106,210,71
-109,216,71
-108,214,73
-110,214,73
-113,208,75
-113,207,75
-112,206,74
-109,208,72
-108,207,73
-111,208,72
-114,208,76
-113,209,79
-113,207,81
-114,211,82
-112,208,82
-113,209,79
-113,207,77
-114,202,75
-113,202,75
-112,202,77
-115,202,78
-115,206,77
-113,207,75
-113,205,72
-116,204,76
-116,207,77
-114,207,77
-116,207,76
-114,206,76
-115,206,74
-116,205,73
-117,205,71
-117,205,73
-116,205,72
-114,205,74
-114,205,74
-114,206,73
-115,202,75
-118,200,76
-119,198,78
-114,204,75
-112,207,73
-109,208,72
-111,206,74
-114,204,77
-117,205,79
-116,206,78
-114,210,75
-112,212,77
-113,210,77
-114,208,78
-114,204,77
-115,203,78
-113,207,77
-109,209,72
-110,210,72
-112,209,73
-115,206,73
-116,204,74
-118,204,73
-116,207,75
-114,209,75
-117,204,75
-117,202,74
-116,202,73
-116,206,75
-111,207,75
-110,210,75
-113,210,74
-117,208,75
-122,203,76
-118,197,70
-117,196,69
-115,202,68
-113,205,74
-109,205,73
-114,204,78
-114,205,81
-112,207,80
-113,209,78
-109,211,76
-113,208,75
-112,209,74
-111,209,75
-113,207,75
-114,208,75
-115,208,75
-114,211,75
-116,209,73
-118,209,74
-116,207,74
-116,206,74
-118,205,71
-117,204,67
-117,204,69
-118,200,70
-119,202,70
-118,203,67
-118,205,68
-115,207,69
-114,209,68
-114,207,68
-116,206,69
-114,206,69
-114,209,67
-114,210,68
-116,207,68
-115,205,68
-111,207,67
-112,209,68
-114,207,69
-117,210,68
-118,208,67
-115,208,67
-112,209,66
-109,208,69
-113,207,72
-113,204,75
-113,204,77
-113,208,76
-111,209,73
-114,209,75
-117,206,75
-115,207,73
-117,206,72
-117,206,69
-117,205,67
-120,203,70
-120,201,68
-119,203,67
-119,204,67
-116,203,66
-119,204,67
-117,204,67
-119,204,67
-120,204,71
-115,207,68
-115,208,67
-116,208,67
-117,208,67
-116,206,70
-116,207,70
-115,206,70
-115,206,72
-116,209,73
-117,206,74
-117,206,72
-116,205,71
-117,206,70
-119,207,71
-120,205,73
-117,205,69
-117,205,69
-119,206,66
-119,204,68
-119,199,67
-118,198,67
-115,200,68
-115,208,65
-116,212,65
-116,210,65
-120,208,67
-120,207,69
-119,204,69
-121,203,70
-123,205,73
-119,205,76
-112,205,74
-100,204,74
-90,202,74
-90,201,67
-105,202,65
-124,208,72
-146,229,87
-154,240,93
-158,230,87
-154,198,68
-155,157,41
-163,130,29
-159,126,22
-152,139,18
-140,163,21
-142,173,32
-151,182,46
-157,190,58
-158,198,63
-154,204,67
-149,203,65
-145,203,60
-143,207,64
-147,206,71
-140,205,75
-132,213,74
-125,211,74
-129,213,72
-147,233,73
-177,282,94
-187,311,109
-170,333,110
-132,325,93
-134,285,90
-154,236,98
-151,221,100
-105,241,102
-93,257,101
-118,273,104
-149,278,94
-175,271,90
-165,257,81
-159,243,92
-161,225,79
-168,213,62
-165,196,67
-160,203,70
-162,188,79
-170,175,75
-155,169,62
-132,162,45
-113,155,26
-109,146,20
-119,140,13
-109,139,8
-114,142,3
-114,142,11
-116,150,17
-136,183,13
-150,183,26
-183,179,51
-200,185,73
-203,196,84
-198,197,85
-198,208,81
-212,242,63
-206,260,58
-182,271,65
-143,275,79
-101,262,81
-67,247,72
-53,236,61
-48,221,48
-124,128,-2
-170,62,2
-150,105,60
-116,252,106
-30,374,124
13,408,113
2,385,103
-50,340,99
-79,295,89
-80,262,72
-100,243,52
-120,281,62
-107,385,82
-69,499,96
-55,511,114
-122,415,101
-143,369,76
-143,375,68
-151,411,97
-159,412,115
-166,377,110
-153,324,93
-149,287,75
-171,239,62
-172,197,45
-177,161,36
-167,136,35
-147,121,30
-131,126,30
-119,136,31
-104,119,16
-98,110,7
-76,117,2
-72,135,-1
-67,143,-4
-77,151,-5
-103,170,-19
-112,170,-26
-118,190,-17
-117,200,6
-128,202,32
-158,196,41
-184,200,38
-199,216,38
-202,244,48
-177,293,69
-161,301,83
-147,292,101
-125,281,110
-119,267,118
-126,264,119
-136,258,124
-149,248,117
-150,268,126
-132,277,129
-122,285,132
-114,296,151
-98,347,149
-49,380,115
38,392,63
4,439,65
-14,496,73
26,511,71
64,511,76
-17,460,78
-105,376,54
-105,389,19
-113,386,0
-103,395,23
-109,358,8
-111,376,35
-131,355,46
-159,307,46
-163,296,40
-164,289,36
-188,272,29
-179,266,24
-161,241,20
-145,210,10
-122,198,5
-95,188,1
-72,176,-11
-64,153,-38
-50,152,-52
-40,148,-58
-34,145,-64
-48,139,-82
-81,101,-90
-89,79,-76
-58,112,-60
-10,184,-55
-47,173,-49
-101,144,-46
-119,160,-34
-120,201,-12
-81,266,0
-71,287,3
-111,245,27
-160,222,51
-203,219,84
-235,250,115
-222,265,129
-189,295,135
-163,318,128
-167,296,101
-194,274,55
-187,303,41
-136,349,55
-102,408,89
-97,430,115
-123,429,108
-209,474,102
-158,511,77
-39,452,26
-32,322,-25
-47,248,-61
-23,295,-87
16,418,-110
60,475,-139
33,457,-143
-10,428,-129
-62,421,-115
-105,422,-97
-123,446,-72
-116,437,-66
-127,383,-54
-123,337,-52
-109,314,-35
-98,268,-35
-96,237,-42
-98,196,-33
-90,163,-31
-92,148,-18
-73,141,-13
-58,128,-35
-58,102,-48
-92,62,-65
-114,24,-58
-79,25,-43
-57,61,-21
-43,68,-8
-83,62,-21
-129,16,36
-140,41,46
-117,130,59
-112,171,66
-127,153,43
-195,173,68
-225,217,124
-221,279,110
-233,292,116
-209,425,164
-263,470,277
-208,468,321
-173,393,312
-167,346,285
-128,358,219
-118,370,191
-129,337,158
-162,267,127
-199,218,125
-189,265,123
-131,336,125
-136,355,179
-155,326,193
-140,285,170
-119,284,118
-113,305,52
-87,342,1
-49,394,-16
-33,392,-16
-63,291,16
-70,241,44
-70,229,81
-65,275,106
-58,329,127
-83,362,156
-107,392,163
-153,384,183
-188,379,175
-198,341,145
-196,298,126
-215,271,116
-202,252,92
-195,222,72
-164,156,13
-112,116,-51
-89,77,-67
-79,58,-57
-72,56,-46
-60,62,-33
-57,59,-25
-64,48,-21
-102,44,-26
-120,52,-20
-139,74,-1
-148,108,12
-154,141,6
-146,170,-6
-160,193,-10
-161,222,-1
-188,256,16
-215,273,38
-250,283,62
-289,297,98
-304,331,127
-301,387,137
-276,440,134
-177,511,126
-112,511,106
-102,511,89
-183,511,95
-170,511,107
-75,475,80
-3,419,16
-6,342,-41
-54,330,-7
-91,369,57
-121,439,111
-128,471,110
-144,434,103
-189,382,111
-170,405,113
-187,451,124
-274,443,159
-321,370,158
-285,331,117
-257,313,101
-228,256,72
-211,211,43
-193,143,23
-173,103,2
-139,79,-13
-120,59,-22
-87,47,-32
-59,42,-50
-38,27,-70
-20,16,-70
-13,35,-68
-4,53,-74
-3,57,-75
-34,40,-68
-75,32,-52
-122,40,-37
-154,83,-20
-173,160,-1
-175,209,11
-214,249,50
-257,276,84
-265,316,99
-277,339,114
-275,363,131
-256,393,162
-203,433,209
-167,449,226
-146,454,215
-130,396,183
-152,341,153
-171,319,129
-126,329,81
-73,366,24
-116,425,73
-120,439,123
-60,425,131
-38,385,99
-67,351,74
-96,324,51
-115,372,36
-120,420,45
-124,433,54
-113,418,68
-166,407,78
-197,404,85
-234,451,122
-267,494,138
-262,429,90
-265,336,61
-247,234,31
-222,177,17
-192,140,6
-163,111,0
-136,82,-13
-97,52,-25
-76,37,-31
-53,31,-38
-12,44,-48
20,55,-61
37,54,-59
44,78,-52
35,108,-46
21,110,-66
-1,76,-85
-58,62,-75
-112,60,-50
-153,106,-21
-158,187,1
-149,240,3
-172,248,12
-271,213,72
-279,264,99
-269,342,108
-269,390,118
-270,413,143
-283,381,181
-274,350,210
-258,345,224
-268,312,187
-308,264,157
-321,245,155
-252,328,129
-157,398,68
-188,456,76
-172,422,143
-126,377,127
-136,335,60
-132,287,-33
-104,297,-98
-63,316,-101
-46,347,-67
-71,375,-43
-107,352,-52
-190,340,-14
-182,378,-29
-157,397,-40
-193,396,-33
-221,389,-26
-260,346,12
-257,297,27
-223,257,5
-226,235,4
-189,196,-19
-159,180,-36
-132,159,-32
-128,133,-10
-102,125,-45
-86,119,-63
-100,100,-58
-98,107,-44
-72,134,-31
-54,123,-31
-46,103,-38
-79,37,-41
-102,36,-38
-113,53,-38
-105,71,-41
-106,97,-38
-112,103,-21
-126,120,2
-150,125,22
-173,139,60
-166,154,68
-170,182,67
-207,216,103
-250,247,153
-256,304,176
-279,282,178
-301,391,250
-274,462,302
-257,455,337
-208,449,305
-161,447,207
-188,442,127
-184,384,67
-106,321,54
-76,291,63
-78,272,61
-89,263,30
-83,301,-17
-46,353,-61
3,394,-86
12,388,-74
-34,355,-30
-79,322,4
-124,317,31
-154,349,59
-160,401,67
-181,413,21
-205,382,11
-221,344,66
-193,350,51
-180,310,16
-199,228,12
-207,164,11
-184,145,-11
-164,143,-23
-110,94,-47
-93,63,-45
-77,54,-45
-67,39,-42
-63,23,-35
-67,18,-37
-65,22,-42
-79,31,-40
-117,58,-37
-149,84,-23
-191,104,4
-225,118,18
-237,138,22
-241,151,38
-240,136,72
-229,173,53
-285,177,53
-315,221,93
-312,294,132
-276,358,148
-256,383,152
-234,377,165
-250,383,180
-224,350,166
-209,319,129
-232,298,100
-278,314,68
-249,336,35
-166,351,37
-137,363,46
-164,365,0
-197,352,16
-225,357,36
-240,355,30
-232,346,18
-221,309,13
-211,277,17
-210,225,33
-198,192,34
-183,168,32
-161,171,31
-138,165,17
-134,161,22
-127,143,24
-124,136,23
-96,141,17
-77,156,12
-93,161,17
-99,154,16
-90,167,11
-59,186,0
-53,190,-8
-74,190,-12
-78,203,-3
-63,234,0
-38,271,3
-13,281,0
-31,249,3
-56,223,25
-63,247,50
-32,298,49
29,318,12
23,282,2
7,239,-5
1,210,-13
2,199,-24
8,219,-18
-1,237,-1
-9,254,18
-17,269,34
-13,283,31
-3,284,21
-3,274,17
-6,257,17
-2,241,15
2,231,10
1,228,11
7,238,7
9,240,11
4,235,17
1,238,15
1,247,17
1,255,21
3,254,25
2,248,30
4,238,29
3,228,31
10,238,26
8,243,29
2,253,21
5,262,21
7,273,23
8,270,25
6,262,24
9,250,23
10,249,24
12,252,21
8,256,23
6,256,24
5,257,20
9,263,26
12,267,25
18,264,21
20,252,24
20,247,27
17,240,30
20,242,34
26,246,41
23,233,41
8,210,39
4,211,48
16,238,56
29,249,54
33,255,52
35,248,53
30,243,51
32,239,53
31,233,51
23,230,52
24,236,55
27,239,60
28,243,63
26,240,63
20,229,64
22,226,60
25,232,60
25,244,58
22,243,60
21,239,60
27,242,56
28,240,55
28,243,55
26,243,56
26,238,59
19,233,63
24,234,59
28,235,57
30,237,54
24,238,56
22,235,57
23,235,60
27,239,59
26,246,59
24,247,62
22,243,63
25,242,64
26,244,61
30,244,58
24,237,58
23,235,58
25,237,56
23,238,57
21,244,62
20,242,64
23,239,63
23,237,59
24,236,62
23,234,63
22,231,62
25,240,62
26,240,61
27,239,64
22,233,65
20,232,70
24,233,70
22,230,70
22,229,73
25,232,71
26,233,72
24,232,72
26,233,73
27,236,73
25,232,75
25,231,76
26,238,80
24,235,81
25,232,77
28,233,75
28,232,72
28,232,74
29,236,76
27,232,78
24,230,82
25,233,83
24,230,86
22,230,89
24,237,93
25,236,96
19,226,96
19,218,96
24,218,98
22,214,100
20,219,104
20,221,108
22,227,111
22,227,111
19,223,110
22,218,108
21,212,107
19,207,112
19,204,117
17,200,121
18,208,124
19,208,128
18,213,129
17,214,131
15,211,135
15,198,134
14,197,138
12,195,142
8,193,150
11,199,149
15,197,156
8,188,156
0,166,163
1,166,167
6,170,171
8,173,169
8,173,171
1,168,174
1,162,178
1,157,177
1,158,178
2,158,182
2,163,185
4,162,183
3,158,181
2,143,178
0,150,178
2,156,186
5,165,182
2,160,183
-2,152,186
-3,154,188
0,159,180
5,155,182
-7,168,178
-2,157,183
1,149,176
-1,144,172
-1,155,174
-17,157,189
-33,154,188
-22,158,202
-23,156,195
-26,158,196
-22,154,189
-28,147,189
-23,143,197
-30,139,199
-27,144,200
-20,145,192
-16,144,191
-19,134,194
-28,135,197
-24,145,197
-19,137,196
-13,137,191
-15,141,194
-20,140,192
-28,135,205
-17,122,195
-11,128,191
-19,141,193
-24,131,199
-29,133,197
-29,132,194
-19,129,196
-27,133,204
-32,136,202
-33,129,204
-33,124,194
-30,121,198
-31,126,197
-37,126,204
-33,135,198
-32,137,200
-32,128,203
-30,127,194
-28,127,199
-27,131,206
-32,138,205
-36,130,207
-32,122,206
-33,125,211
-34,129,206
-40,120,212
-34,129,201
-33,131,202
-34,129,201
-32,126,199
-35,132,195
-36,130,195
-34,130,193
-39,127,196
-36,121,199
-33,121,194
-38,134,191
-41,135,198
-49,158,203
-47,141,192
-47,132,202
-49,126,200
-48,130,200
-43,141,195
-41,139,191
-38,136,199
-29,137,185
-24,130,188
-21,128,193
-21,126,197
-21,125,196
-10,146,202
-19,139,198
-31,127,195
-34,114,206
-32,130,197
-38,146,194
-26,168,190
-22,157,188
-21,148,184
-29,150,190
-32,156,185
-35,153,187
-34,150,190
-21,161,181
-18,167,174
-29,154,183
-36,148,189
-29,147,187
-28,155,191
-20,162,186
-18,159,186
-24,161,187
-28,158,181
-33,139,188
-30,148,189
-22,151,184
-25,144,185
-33,148,185
-24,148,187
-24,151,184
-20,149,188
-27,149,191
-28,145,196
-28,144,192
-30,152,194
-27,150,191
-25,152,191
-25,159,184
-29,152,190
-31,145,188
-18,149,185
-21,146,187
-22,147,190
-29,151,189
-26,151,193
-23,155,190
-22,153,189
-28,148,190
-33,147,192
-30,150,192
-22,152,186
-21,148,185
-22,148,185
-19,150,185
-18,147,184
-23,149,184
-26,153,184
-25,148,192
-23,148,190
-22,147,188
-25,148,188
-23,151,189
-29,148,193
-27,147,190
-28,144,192
-32,147,192
-27,148,188
-32,149,189
-33,149,189
-31,149,191
-28,146,189
-28,144,189
-28,145,188
-31,143,191
-28,146,187
-29,147,189
-23,149,188
-23,148,184
-31,147,190
-33,146,191
-29,153,190
-29,151,190
-31,146,190
-33,145,193
-33,145,190
-24,145,184
-31,145,186
-32,147,188
-21,146,186
-34,142,191
-35,148,193
-29,149,192
-29,144,191
-33,143,193
-30,149,191
-26,145,189
-27,148,189
-28,150,189
-26,145,185
-31,137,190
-32,143,192
-29,146,190
-29,145,188
-39,141,194
-31,147,192
-24,148,187
-26,144,190
-32,139,190
-36,140,193
-29,143,191
-28,146,188
-32,149,193
-38,142,192
-32,142,192
-27,143,188
-39,138,194
-39,142,194
-32,142,193
-28,142,191
-39,140,194
-37,144,193
-32,144,193
-32,142,189
-38,143,194
-32,148,191
-35,140,191
-38,142,193
-30,144,192
-36,139,192
-39,137,193
-31,144,190
-37,140,192
-41,141,196
-33,143,191
-40,138,192
-32,140,191
-27,144,189
-32,142,189
-45,140,197
-42,140,195
-38,142,196
-40,141,194
-35,142,191
-34,139,192
-37,139,192
-37,138,194
-38,138,193
-39,140,193
-34,145,192
-35,142,192
-42,135,197
-33,138,191
-39,133,192
-42,141,193
-37,139,191
-39,137,193
-41,137,195
-43,135,194
-36,138,190
-46,138,196
-46,138,194
-37,142,190
-39,144,191
-41,140,192
-40,142,193
-36,137,191
-49,134,197
