x,y,z
-163,-78,-146
-84,-17,-124
-174,-98,-124
-175,-82,-134
-186,-140,-125
-201,-179,-123
-196,-186,-140
-251,-179,-201
-177,-224,-139
-179,-145,-158
-160,-137,-146
-165,-115,-128
-161,-90,-91
-209,-75,-121
-195,-11,-139
-241,-57,-167
-255,-44,-200
-287,-64,-225
-188,23,-206
-114,16,-172
-198,-66,-165
-181,2,-172
-130,21,-150
-137,-23,-149
-129,-70,-167
-144,-202,-175
-168,-153,-196
-145,-202,-242
-151,-127,-258
-152,-127,-303
-75,-114,-225
-132,-73,-227
-141,-74,-184
-137,-32,-143
-179,-46,-129
-186,-63,-126
-199,-54,-161
-241,-62,-185
-230,-15,-177
-278,65,-215
-174,60,-172
-171,18,-170
-201,-26,-187
-153,-31,-148
-118,-32,-138
-139,-58,-167
-139,-80,-176
-129,-120,-186
-121,-125,-197
-188,-135,-226
-215,-170,-251
-124,-161,-213
-145,-109,-196
-128,-84,-173
-147,-99,-135
-175,-59,-109
-189,-89,-95
-204,-84,-116
-229,-49,-137
-252,-45,-164
-267,-54,-188
-238,-16,-195
-143,6,-155
-178,-10,-176
-201,-32,-168
-155,-33,-140
-123,3,-133
-175,-78,-162
-152,-104,-159
-170,-245,-163
-168,-182,-196
-166,-166,-223
-181,-191,-232
-129,-148,-221
-133,-127,-166
-155,-65,-145
-165,-25,-125
-186,-21,-123
-229,-124,-127
-211,-48,-152
-254,-78,-180
-230,-18,-208
-216,-23,-189
-218,12,-211
-152,-1,-150
-191,-16,-185
-183,-51,-152
-149,-52,-126
-138,-51,-120
-174,-69,-147
-173,-66,-179
-190,-128,-168
-212,-105,-218
-216,-166,-222
-199,-186,-228
-140,-121,-193
-144,-108,-156
-135,-69,-136
-140,-27,-116
-197,-69,-118
-207,-58,-129
-255,-119,-160
-269,-62,-155
-269,-43,-194
-257,1,-249
-192,29,-219
-148,12,-194
-193,5,-201
-181,24,-164
-131,13,-126
-157,-39,-109
-186,-50,-143
-164,-81,-159
-216,-192,-180
-175,-154,-200
-230,-186,-256
-185,-242,-221
-140,-189,-178
-147,-153,-171
-116,-108,-114
-172,-77,-106
-196,-58,-96
-225,-67,-135
-252,-30,-180
-244,-71,-238
-259,7,-250
-249,42,-236
-154,20,-169
-193,-10,-178
-222,-22,-143
-149,2,-105
-140,-16,-94
-172,-76,-102
-170,-119,-124
-167,-139,-115
-199,-181,-177
-215,-149,-186
-242,-217,-197
-191,-143,-190
-167,-102,-171
-150,-130,-111
-139,-66,-90
-173,-63,-90
-185,-45,-92
-224,-145,-72
-260,-109,-195
-258,2,-204
-269,0,-235
-229,77,-243
-134,10,-195
-195,27,-193
-183,-17,-163
-138,-22,-125
-159,-19,-132
-176,-93,-149
-134,-97,-179
-156,-141,-180
-163,-138,-219
-200,-132,-279
-142,-138,-306
-115,-94,-210
-174,-61,-211
-143,-58,-165
-149,-47,-133
-159,-46,-117
-184,-78,-136
-193,-32,-172
-234,-45,-181
-230,-35,-201
-270,-10,-224
-199,49,-188
-160,32,-166
-211,41,-208
-146,16,-155
-135,-21,-158
-132,-59,-172
-129,-73,-204
-110,-86,-237
-114,-93,-276
-80,-54,-289
-139,-69,-317
-97,-80,-268
-146,-38,-250
-129,-33,-210
-136,-11,-168
-159,-36,-126
-186,-49,-132
-191,-72,-127
-232,-24,-163
-249,22,-228
-278,-5,-186
-259,30,-172
-191,54,-156
-197,41,-186
-174,11,-179
-139,-15,-173
-121,-15,-191
-112,-63,-212
-128,-45,-239
-89,-104,-274
-99,-61,-316
-129,-66,-334
-109,-84,-278
-130,-13,-240
-182,-64,-186
-173,-63,-136
-180,-57,-104
-182,-62,-116
-196,-18,-154
-225,-26,-136
-257,0,-212
-252,6,-185
-215,61,-187
-152,30,-169
-198,16,-202
-148,4,-171
-123,-4,-175
-140,-56,-174
-138,-60,-212
-126,-104,-230
-114,-88,-267
-108,-59,-282
-159,-104,-291
-129,-66,-278
-134,-66,-224
-172,-42,-199
-147,-38,-141
-180,-40,-113
-199,-24,-108
-211,-63,-101
-234,-36,-146
-205,-4,-167
-255,-12,-178
-240,-7,-197
-211,37,-215
-142,24,-164
-164,-1,-173
-157,-35,-154
-132,-45,-122
-148,-20,-149
-123,-38,-180
-136,-51,-218
-115,-75,-250
-146,-66,-295
-162,-63,-332
-125,-52,-313
-111,-41,-245
-108,-17,-204
-96,-46,-145
-142,-50,-124
-157,-44,-135
-205,-50,-133
-216,-61,-163
-227,-52,-168
-248,-63,-183
-290,10,-257
-188,104,-177
-176,90,-166
-215,65,-179
-168,11,-126
-147,29,-128
-156,-11,-178
-128,-68,-211
-130,-70,-249
-111,-65,-270
-134,-39,-304
-150,-93,-319
-92,-70,-248
-138,-36,-212
-154,-36,-188
-143,-41,-124
-199,-32,-103
-212,-43,-92
-246,-41,-166
-224,-10,-163
-236,-3,-165
-235,40,-179
-230,55,-169
-224,81,-164
-193,39,-166
-184,9,-176
-124,0,-139
-123,-12,-151
-145,-38,-187
-139,-23,-245
-93,-134,-265
-80,-60,-245
-171,-71,-313
-108,-64,-305
-103,-51,-244
-153,-67,-216
-106,14,-187
-166,-34,-137
-182,-50,-124
-195,-82,-117
-207,-56,-148
-244,-59,-153
-237,-9,-178
-228,72,-186
-218,106,-179
-164,101,-154
-230,89,-191
-174,73,-165
-144,8,-153
-115,8,-178
-156,-40,-194
-138,-69,-224
-126,-76,-258
-97,-47,-294
-65,-26,-337
-89,-59,-316
-79,-15,-292
-121,-46,-245
-139,-16,-213
-133,-4,-143
-201,-39,-123
-217,-30,-115
-232,-66,-108
-258,-59,-125
-223,52,-129
-282,17,-92
-279,144,-152
-245,152,-145
-221,72,-173
-194,62,-164
-148,28,-157
-131,2,-197
-119,-1,-209
-119,-15,-254
-66,-34,-315
-65,0,-355
-57,-33,-346
-88,-42,-297
-103,7,-234
-152,-6,-202
-152,13,-186
-151,-2,-133
-190,-50,-104
-197,-64,-126
-184,7,-160
-255,5,-188
-234,12,-159
-264,41,-181
-219,99,-203
-135,74,-162
-183,33,-207
-154,-9,-204
-99,-25,-192
-102,-32,-200
-103,-27,-218
-86,-48,-232
-68,-2,-252
-104,-41,-291
-111,-45,-314
-93,-37,-287
-90,-16,-247
-147,11,-238
-158,-34,-196
-168,-15,-132
-203,-86,-88
-207,-58,-119
-196,47,-159
-234,-3,-186
-221,13,-151
-250,12,-181
-208,47,-178
-148,39,-146
-199,31,-177
-192,17,-181
-119,1,-161
-107,-20,-171
-141,-46,-170
-127,-24,-208
-143,1,-276
-115,-19,-349
-88,-58,-352
-63,-67,-312
-90,7,-268
-120,-23,-229
-122,-12,-203
-134,-54,-140
-177,-55,-151
-154,-85,-150
-195,-46,-232
-198,-4,-184
-203,2,-197
-200,35,-205
-202,56,-193
-137,51,-173
-175,33,-217
-153,-28,-204
-107,-40,-174
-119,-72,-184
-110,-61,-216
-90,-38,-228
-63,-15,-277
-55,-39,-318
-73,-94,-323
-115,-78,-324
-93,-24,-267
-168,-45,-214
-199,-94,-145
-149,-68,-97
-172,-63,-105
-173,-32,-182
-228,-14,-180
-208,-5,-189
-226,16,-191
-231,70,-218
-156,66,-155
-176,60,-209
-167,0,-224
-148,-54,-178
-119,-47,-167
-127,-55,-200
-102,-55,-235
-85,-27,-287
-65,-58,-301
-124,-64,-340
-80,-92,-275
-146,-44,-238
-190,-44,-203
-147,-65,-143
-155,-73,-117
-177,-76,-118
-186,-23,-182
-197,-15,-200
-232,1,-209
-198,39,-171
-237,91,-217
-159,59,-174
-172,45,-197
-164,16,-215
-134,-39,-193
-112,-58,-199
-98,-70,-218
-82,-71,-268
-18,-20,-291
-35,-41,-296
-80,-46,-326
-88,-70,-323
-114,-23,-263
-151,-54,-223
-146,-41,-167
-151,-70,-111
-170,-68,-121
-183,-45,-170
-186,-14,-176
-187,13,-189
-195,55,-204
-253,87,-248
-150,58,-167
-140,57,-194
-167,7,-218
-128,-27,-191
-83,-36,-195
-79,-49,-215
-73,-51,-283
-5,-42,-293
-26,-53,-289
-1,-28,-306
-74,-66,-305
-98,-78,-292
-118,-23,-246
-133,-71,-206
-109,-46,-207
-163,-70,-221
-157,-37,-208
-198,10,-197
-226,-13,-141
-205,47,-145
-203,100,-178
-183,68,-166
-152,31,-173
-164,-27,-198
-144,-31,-172
-100,-37,-179
-102,-23,-211
-112,-59,-250
-67,-32,-271
-60,-20,-287
-60,-16,-328
-84,-75,-333
-76,-56,-295
-112,-40,-254
-165,-57,-213
-158,-48,-163
-171,-33,-128
-191,-69,-126
-194,-5,-145
-231,-21,-159
-219,-18,-154
-226,32,-174
-198,48,-185
-172,51,-173
-185,31,-172
-171,21,-189
-145,-5,-181
-88,-24,-183
-109,-46,-191
-114,-83,-227
-87,-23,-264
-82,-34,-276
-98,-44,-316
-99,-44,-325
-109,-46,-265
-157,-1,-233
-167,-6,-182
-147,-33,-124
-175,-50,-104
-186,-36,-109
-207,-12,-123
-235,7,-171
-227,11,-127
-249,15,-158
-223,64,-186
-151,79,-143
-206,65,-194
-184,7,-181
-136,-7,-155
-130,-36,-161
-111,-44,-207
-102,-29,-244
-57,-14,-283
-77,-33,-325
-94,-56,-338
-84,-55,-303
-85,-20,-238
-174,-5,-218
-136,-34,-169
-167,-47,-134
-185,-84,-120
-163,-32,-154
-206,-23,-181
-246,-16,-200
-204,23,-176
-194,59,-202
-163,67,-185
-150,37,-165
-184,14,-209
-157,-18,-171
-128,-22,-160
-124,-12,-175
-122,-48,-210
-66,-54,-254
-34,-41,-288
-34,-28,-319
-91,-83,-315
-63,-33,-304
-86,-36,-249
-139,-39,-250
-99,-37,-189
-141,-87,-143
-139,-92,-146
-149,-54,-184
-169,-26,-209
-241,-50,-232
-209,-10,-174
-253,51,-217
-156,103,-171
-164,87,-180
-190,31,-217
-137,2,-179
-100,-22,-181
-107,-54,-200
-121,-53,-244
-74,-29,-250
-65,-14,-272
-79,-28,-307
-82,-44,-320
-95,-34,-301
-80,7,-242
-130,2,-238
-120,-57,-216
-149,-38,-179
-168,-102,-156
-154,-103,-167
-180,-9,-203
-218,-10,-204
-222,29,-149
-272,99,-213
-175,87,-159
-159,75,-189
-165,12,-219
-134,-9,-192
-130,-40,-203
-111,-42,-218
-100,-28,-248
-58,-34,-271
-82,-4,-294
-71,-13,-314
-99,-13,-314
-112,-29,-259
-127,36,-233
-176,-19,-233
-129,29,-189
-181,-43,-162
-172,-74,-178
-177,-16,-157
-205,25,-192
-217,50,-165
-220,47,-137
-249,123,-176
-172,54,-131
-192,67,-206
-139,30,-230
-126,-19,-210
-86,-12,-209
-85,0,-235
-60,17,-270
-64,30,-252
-66,41,-296
-67,45,-335
-81,-26,-327
-88,23,-249
-144,53,-246
-153,-20,-212
-157,-20,-158
-170,-39,-197
-178,-51,-166
-177,38,-176
-228,30,-201
-201,34,-156
-276,91,-177
-223,82,-143
-163,58,-140
-186,35,-213
